-456, -129, 463
-443, -192, 402
-308, -102, 349
-159, -113, 319
-86, -83, 272
-172, -38, 142
-172, -38, 142
-253, -79, -19
-390, 22, -215
-312, 18, -354
-141, 80, -446
104, 159, -364
274, 204, -316
465, 134, -278
546, 25, 22
546, 25, 22
542, 52, 331
742, 295, 910
584, 369, 1543
584, 369, 1543
381, 600, 1998
454, 360, 1998
472, 81, 1998
-,-,-
-258, -138, 615
-241, -157, 524
-325, -116, 261
-410, 36, -15
-243, 91, -80
-288, 68, -267
-493, 147, -648
2, 67, -779
2, 67, -779
305, 84, -848
391, 80, -676
736, 284, -254
742, 109, 133
742, 109, 133
457, -61, 129
-309, 291, 378
856, 517, 1729
1419, 6, 1998
652, -330, 1998
-302, -671, 1998
-,-,-
-392, -195, 305
-254, -178, 284
-208, -118, 136
-154, -32, 44
-148, -150, -50
-105, -37, -275
-181, -78, -633
52, 117, -673
696, 269, -371
654, 251, -261
654, 251, -261
721, 159, -96
921, -68, 507
271, -267, 914
287, 156, 1862
657, 147, 1998
126, -544, 1998
304, -6, 1998
304, -6, 1998
456, 292, 1998
-,-,-
-443, -177, 368
-326, -182, 378
-222, -140, 377
-419, 68, 16
-360, -79, -103
-199, -46, -114
-100, 21, -209
-70, 25, -442
-70, 25, -442
62, 84, -248
259, 213, 125
